City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,63.32,94,94,21.45,SH,1735004294
1,waitangi,-43.9535,-176.5597,61.36,92,60,9.22,NZ,1735004295
2,ust'-charyshskaya pristan',52.3934,83.6635,-10.01,100,92,2.55,RU,1735004295
3,karamay,45.6004,84.8661,11.57,93,100,2.57,CN,1735004296
4,guerrero negro,27.9769,-114.0611,60.13,90,55,10.31,MX,1735004296
5,namibe,-15.1961,12.1522,70.47,82,100,5.1,AO,1735004297
6,wailua homesteads,22.0669,-159.378,79.59,81,75,11.5,US,1735004298
7,grytviken,-54.2811,-36.5092,33.49,76,100,5.64,GS,1735004298
8,port elizabeth,-33.918,25.5701,62.89,99,75,5.75,ZA,1735004299
9,margaret river,-33.95,115.0667,67.39,64,83,18.37,AU,1735004300
10,patacamaya,-17.2333,-67.9167,54.23,59,100,8.46,BO,1735004300
11,dudinka,69.4058,86.1778,5.41,93,100,21.18,RU,1735004301
12,avarua,-21.2078,-159.775,82.45,83,75,8.05,CK,1735004302
13,gibong,11.8634,122.0394,79.75,78,100,11.65,PH,1735004303
14,yellowknife,62.456,-114.3525,10.92,92,100,6.91,CA,1735004304
15,iqaluit,63.7506,-68.5145,-4.27,71,100,3.44,CA,1735004228
16,vadso,70.0744,29.7487,21.36,86,75,10.36,NO,1735004305
17,puerto baquerizo moreno,-0.9,-89.6,73.09,82,72,10.07,EC,1735004306
18,kerikeri,-35.2268,173.9474,74.88,53,3,9.55,NZ,1735004307
19,bethel,41.3712,-73.414,22.21,64,75,3.0,US,1735004308
20,kudahuvadhoo,2.6708,72.8944,82.38,70,0,6.93,MV,1735004308
21,sinabang,2.4803,96.3801,75.4,87,100,11.95,ID,1735004309
22,utrik,11.2278,169.8474,81.14,80,97,20.76,MH,1735004310
23,constantia,44.1833,28.65,48.88,77,100,20.15,RO,1735004299
24,albany,42.6001,-73.9662,21.45,57,100,5.01,US,1735004074
25,ketchikan,55.3422,-131.6461,48.34,76,100,18.41,US,1735004312
26,cooper's town,26.8667,-77.5167,70.75,71,49,5.26,BS,1735004312
27,port-aux-francais,-49.35,70.2167,44.53,96,100,42.37,TF,1735004313
28,ushuaia,-54.8,-68.3,47.86,81,40,11.5,AR,1735004134
29,west island,-12.1568,96.8225,80.58,94,100,8.05,CC,1735004314
30,stanley,54.868,-1.6985,50.02,94,75,18.41,GB,1735004058
31,san antonio de pale,-1.4014,5.6325,78.71,85,69,12.62,GQ,1735004316
32,bredasdorp,-34.5322,20.0403,58.91,82,1,3.89,ZA,1735004055
33,kavieng,-2.5744,150.7967,86.07,72,97,8.52,PG,1735004317
34,fale old settlement,-9.3852,-171.2468,83.05,73,77,17.78,TK,1735004318
35,umluj,25.0213,37.2685,66.67,61,0,7.67,SA,1735004318
36,ust-nera,64.5667,143.2,-9.87,95,100,5.14,RU,1735004319
37,san fernando de apure,7.8878,-67.4724,81.19,56,100,4.25,VE,1735004320
38,kalmunai,7.4167,81.8167,76.06,85,41,4.5,LK,1735004320
39,ulaangom,49.9811,92.0667,-2.22,95,100,1.12,MN,1735004321
40,jamestown,42.097,-79.2353,34.02,55,100,13.8,US,1735004042
41,kodiak,57.79,-152.4072,40.51,87,100,3.44,US,1735004128
42,tyukhtet,56.5389,89.3011,4.8,98,99,3.85,RU,1735004323
43,blackmans bay,-43.0167,147.3167,65.52,65,92,1.99,AU,1735004323
44,afaahiti,-17.75,-149.2833,79.93,71,100,7.63,PF,1735004324
45,udachny,66.4167,112.4,-20.69,100,97,3.04,RU,1735004325
46,ribeira grande,38.5167,-28.7,62.78,75,35,11.01,PT,1735004325
47,talnakh,69.4865,88.3972,9.91,94,100,13.11,RU,1735004191
48,adamstown,-25.066,-130.1015,75.33,84,99,11.81,PN,1735004327
49,tolanaro,-25.0319,46.9987,78.87,83,20,0.0,MG,1735004327
50,changchun,43.88,125.3228,16.75,64,0,9.46,CN,1735004328
51,rongelap,11.1635,166.8941,82.0,79,100,17.18,MH,1735004329
52,lompoc,34.6391,-120.4579,61.52,90,100,14.0,US,1735004329
53,lihue,21.9789,-159.3672,80.19,80,75,11.5,US,1735004312
54,natal,-5.795,-35.2094,80.82,78,75,9.22,BR,1735004331
55,port erin,54.0849,-4.751,53.47,94,75,16.11,IM,1735004091
56,grand falls-windsor,48.9332,-55.6649,9.12,89,9,5.03,CA,1735004333
57,hobyo,5.3505,48.5268,75.4,71,72,16.53,SO,1735004334
58,san jose de feliciano,-30.3845,-58.7517,68.77,45,0,8.72,AR,1735004335
59,vorgashor,67.5833,63.95,17.85,96,100,8.59,RU,1735004335
60,remire-montjoly,4.9167,-52.2667,77.04,94,75,3.44,GF,1735004336
61,kertih,4.5141,103.4483,77.09,88,40,0.0,MY,1735004336
62,carnarvon,-24.8667,113.6333,80.6,65,68,19.3,AU,1735004337
63,punta arenas,-53.15,-70.9167,51.91,76,75,19.57,CL,1735004277
64,bairnsdale,-37.8333,147.6167,70.05,59,100,4.0,AU,1735004338
65,port lincoln,-34.7333,135.8667,67.32,64,2,15.08,AU,1735004339
66,greymouth,-42.4667,171.2,67.55,71,100,6.76,NZ,1735004340
67,labuan bajo,-8.4964,119.8877,85.44,71,73,4.34,ID,1735004341
68,sitka,57.0531,-135.33,46.29,66,100,8.05,US,1735004341
69,tiksi,71.6872,128.8694,-10.77,99,62,8.77,RU,1735004342
70,saipan,15.1355,145.701,88.5,77,40,17.27,MP,1735004343
71,nieuw amsterdam,5.8833,-55.0833,77.07,88,99,9.42,SR,1735004343
72,fortuna,40.5982,-124.1573,60.98,97,100,8.99,US,1735004344
73,ashland,40.8167,-82.2665,40.26,84,100,15.14,US,1735004240
